,k1,k10,k11,k12,k13,k17,k18,k19,k2,k3,k5,k8,modified,fixed
193,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,1.291549665014884,1.0,k5,1
194,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,2.1544346900318834,1.0,k5,1
195,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,3.593813663804626,1.0,k5,1
196,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,5.994842503189409,1.0,k5,1
197,0.02,1.0,0.01,0.01,1.0,100.0,50.0,350.0,1.0,0.01,10.0,1.0,k5,1
198,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.0,1.0,k5,3
199,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,0.1,1.0,k5,3
200,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,0.16681005372000587,1.0,k5,3
201,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,0.2782559402207124,1.0,k5,3
202,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,0.46415888336127786,1.0,k5,3
203,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,0.774263682681127,1.0,k5,3
204,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,1.291549665014884,1.0,k5,3
205,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,2.1544346900318834,1.0,k5,1
206,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,3.593813663804626,1.0,k5,1
207,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,5.994842503189409,1.0,k5,1
208,0.02,1.0,0.01,0.01,1.0,100.0,50.0,425.0,1.0,0.01,10.0,1.0,k5,1
209,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.0,1.0,k5,3
210,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,0.1,1.0,k5,3
211,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,0.16681005372000587,1.0,k5,3
212,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,0.2782559402207124,1.0,k5,3
213,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,0.46415888336127786,1.0,k5,2
214,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,0.774263682681127,1.0,k5,3
215,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,1.291549665014884,1.0,k5,3
216,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,2.1544346900318834,1.0,k5,3
217,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,3.593813663804626,1.0,k5,3
218,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,5.994842503189409,1.0,k5,1
219,0.02,1.0,0.01,0.01,1.0,100.0,50.0,500.0,1.0,0.01,10.0,1.0,k5,1
220,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.0,k8,1
221,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,0.1,k8,3
222,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,0.16681005372000587,k8,1
223,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,0.2782559402207124,k8,1
224,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,0.46415888336127786,k8,1
225,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,0.774263682681127,k8,1
226,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,1.291549665014884,k8,1
227,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,2.1544346900318834,k8,1
228,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,3.593813663804626,k8,1
229,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,5.994842503189409,k8,1
230,0.02,1.0,0.01,0.01,1.0,100.0,50.0,200.0,1.0,0.01,1.0,10.0,k8,1
231,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,1.0,k8,1
232,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,0.1,k8,3
233,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,0.16681005372000587,k8,3
234,0.02,1.0,0.01,0.01,1.0,100.0,50.0,275.0,1.0,0.01,1.0,0.2782559402207124,k8,3
